RefDes,Package,X_mm,Y_mm,Rotation_deg,Side,Assembly_Disposition,Source_Board_SHA256,Release_Disposition
C18,C_0603_1608M,69.0000,10.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
D1,LED_0603_1608M,104.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
J3,HDR_1X4_2P54_RA,89.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
Q1,SOT23_STANDARD,100.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R17,R_0603_1608M,46.0000,10.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R18,R_0603_1608M,61.0000,9.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R19,R_0603_1608M,103.0000,21.0000,90.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
RISO1,R_0603_1608M,75.0000,10.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP1,HARWIN_S1751_46R,43.0000,61.5000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP2,HARWIN_S1751_46R,65.0000,49.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP3,HARWIN_S1751_46R,78.0000,49.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP4,HARWIN_S1751_46R,99.0000,61.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP5,HARWIN_S1751_46R,80.0000,10.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP6,HARWIN_S1751_46R,74.0000,49.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP7,HARWIN_S1751_46R,46.0000,20.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP8,HARWIN_S1751_46R,66.0000,21.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
TP9,HARWIN_S1751_46R,95.0000,9.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
U5,ADI_CP_8_10,72.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
